# Correspondance ticker → ISIN pour les ETF/OPCVM européens courants chez les
# investisseurs individuels (Finary, r/vosfinances, r/eupersonalfinance…).
# Format: ISIN;nom;tickers (séparés par des espaces, toutes places confondues)
# Les tickers US n'y figurent pas: ils se résolvent directement sur Yahoo.
# Chaque ISIN a été validé contre l'API de recherche du Financial Times.
#
# — Monde / All-Country —
IE00BP3QZ601;iShares Edge MSCI World Quality Factor UCITS ETF USD Acc;IWQU
IE00BP3QZB59;iShares Edge MSCI World Value Factor UCITS ETF USD Acc;IWVL
IE0003R87OG3;Avantis Global Small Cap Value UCITS ETF USD Acc;AVWS
IE00BJRCLL96;JPM Global Equity Multi-Factor UCITS ETF USD Acc;JPGL
#
# — Allocations / thématiques / leviers —
IE00BMVB5R75;Vanguard LifeStrategy 80% Equity UCITS ETF EUR Acc;VNGA80
IE00BMVB5P51;Vanguard LifeStrategy 60% Equity UCITS ETF EUR Acc;VNGA60
IE00B1XNHC34;iShares Global Clean Energy Transition UCITS ETF USD Dist;INRG
FR0010755611;Amundi MSCI USA Daily (2x) Leveraged UCITS ETF Acc;CL2
FR0010342592;Amundi Nasdaq-100 Daily (2x) Leveraged UCITS ETF Acc;LQQ
#
# — Efficient core / managed futures UCITS —
IE000KF370H3;WisdomTree US Efficient Core UCITS ETF USD Acc;NTSX WTEF
IE00077IIPQ8;WisdomTree Global Efficient Core UCITS ETF USD Acc;NTSG WGEC
